test_id,seed,scenario,iteration,match_time,augment_time,select_time,number_solutions
1733313975.628813,42,ico01,0,0.40641307830810547,0.11279439926147461,0.3494987487792969,2
1733313975.628813,42,ico02,0,0.18087029457092285,3.600120544433594e-05,0.2902505397796631,1
1733313975.628813,42,ico03-azure,0,0.13997244834899902,3.3855438232421875e-05,0.3141646385192871,2
1733313975.628813,42,isAkin01,0,0.05980229377746582,3.0279159545898438e-05,0.2551708221435547,1
1733313975.628813,42,isAkin02,0,0.053338050842285156,7.009506225585938e-05,0.32256031036376953,1
1733313975.628813,42,isAkin03,0,0.062029123306274414,2.956390380859375e-05,0.06338953971862793,1
1733313975.628813,42,isCompatible01,0,0.055358171463012695,2.9325485229492188e-05,0.16736197471618652,1
1733313975.628813,42,isCompatible02,0,0.06893801689147949,2.8133392333984375e-05,0.09996724128723145,1
1733313975.628813,42,lakehouse01,0,0.0794670581817627,0.08420109748840332,0.15054607391357422,1
1733313975.628813,42,lakehouse02,0,0.05983376502990723,0.0667111873626709,0.0957179069519043,1
1733313975.628813,42,lakehouse03,0,0.08782601356506348,0.06313133239746094,0.14548444747924805,1
1733313975.628813,42,lakehouse04,0,0.10583901405334473,0.07447671890258789,0.13534927368164062,1
1733313975.628813,42,mandatory01,0,0.06278562545776367,4.315376281738281e-05,0.22881245613098145,1
1733313975.628813,42,requires01,0,0.11762404441833496,3.123283386230469e-05,0.06359338760375977,1
1733313975.628813,42,requires02,0,0.09238147735595703,2.956390380859375e-05,0.17226505279541016,1
1733313975.628813,42,syntethic_10nodes,0,0.2387373447418213,4.124641418457031e-05,0.15299034118652344,24
1733313975.628813,42,syntethic_250nodes,0,8.137981176376343,4.38690185546875e-05,0.6000626087188721,197
1733313975.628813,42,syntethic_300nodes,0,8.628306150436401,4.57763671875e-05,0.5869038105010986,132
1733313975.628813,42,syntethic_50nodes,0,0.882946252822876,4.363059997558594e-05,0.28092336654663086,363
1733313975.628813,42,technogym,0,0.16487550735473633,3.409385681152344e-05,0.127058744430542,1
1733313975.628813,42,watering,0,0.24308133125305176,0.04995584487915039,0.3623354434967041,2
